2019-03-07 17:21:29,363 [1] [INFO ] MasterManager, Version=1.0.7005.31224, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-07 17:21:30,565 [1] [INFO ] MasterManager, Version=1.0.7005.31224, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(72) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-07 17:21:32,075 [1] [DEBUG] MasterManager, Version=1.0.7005.31224, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(75) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-07 17:21:32,099 [1] [DEBUG] MasterManager, Version=1.0.7005.31224, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(89) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-07 17:21:34,686 [1] [INFO ] MasterManager, Version=1.0.7005.31224, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(124) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-07 17:21:37,125 [1] [INFO ] MasterManager, Version=1.0.7005.31224, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(124) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-07 17:21:37,293 [1] [INFO ] MasterManager, Version=1.0.7005.31224, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(113) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView - MainMDIForm 表示
2019-03-07 17:30:28,895 [1] [INFO ] MasterManager, Version=1.0.7005.31224, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-03-07 18:17:55,046 [1] [INFO ] MasterManager, Version=1.0.7005.32930, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-07 18:17:55,547 [1] [INFO ] MasterManager, Version=1.0.7005.32930, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(72) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-07 18:17:56,011 [1] [DEBUG] MasterManager, Version=1.0.7005.32930, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(75) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
