2019-04-18 11:54:12,180 [1] [INFO ] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-04-18 11:54:12,874 [1] [INFO ] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(60) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-04-18 11:54:14,514 [1] [DEBUG] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(64) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-04-18 11:54:14,530 [1] [DEBUG] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(77) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-04-18 11:54:15,264 [1] [DEBUG] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(85) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - Propertyからウィンドウサイズの取得・設定
2019-04-18 11:54:15,311 [1] [INFO ] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(103) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView -         MasterManager - 1.0.7047.21407 表示
2019-04-18 11:58:14,276 [1] [INFO ] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\TableListForm.cs(37) INTEC.Med.MasterManager.VIEW.TableListForm .ctor -  TableListForm Initialize
2019-04-18 11:58:15,223 [1] [INFO ] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(114) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-04-18 11:58:15,411 [1] [INFO ] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\HospitalListForm.cs(35) INTEC.Med.MasterManager.VIEW.HospitalListForm .ctor -  TableListForm Initialize
2019-04-18 11:58:15,520 [1] [INFO ] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(114) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-04-18 11:58:15,536 [1] [INFO ] MasterManager, Version=1.0.7047.21407, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(37) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-04-18 11:59:14,570 [1] [INFO ] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-04-18 11:59:14,613 [1] [INFO ] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(60) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-04-18 11:59:14,754 [1] [DEBUG] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(64) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-04-18 11:59:14,756 [1] [DEBUG] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(77) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-04-18 11:59:14,901 [1] [DEBUG] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(85) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - Propertyからウィンドウサイズの取得・設定
2019-04-18 11:59:14,914 [1] [INFO ] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(103) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView -         MasterManager - 1.0.7047.21558 表示
2019-04-18 11:59:19,768 [1] [INFO ] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\TableListForm.cs(37) INTEC.Med.MasterManager.VIEW.TableListForm .ctor -  TableListForm Initialize
2019-04-18 11:59:19,903 [1] [INFO ] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(114) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-04-18 11:59:51,364 [1] [INFO ] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-04-18 11:59:51,435 [1] [INFO ] MasterManager, Version=1.0.7047.21558, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Form\MainMDIForm.cs(60) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
