2019-03-04 12:14:41,046 [1] [INFO ] MasterManager, Version=1.0.7002.22029, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-04 12:14:41,827 [1] [INFO ] MasterManager, Version=1.0.7002.22029, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(48) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-04 12:14:44,532 [1] [DEBUG] MasterManager, Version=1.0.7002.22029, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(51) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-04 12:14:44,548 [1] [DEBUG] MasterManager, Version=1.0.7002.22029, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(65) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-04 12:14:45,438 [1] [INFO ] MasterManager, Version=1.0.7002.22029, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(100) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 12:14:46,532 [1] [INFO ] MasterManager, Version=1.0.7002.22029, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(100) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 12:14:46,548 [1] [INFO ] MasterManager, Version=1.0.7002.22029, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(89) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView - MainMDIForm 表示
2019-03-04 12:15:18,282 [1] [INFO ] MasterManager, Version=1.0.7002.22029, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-03-04 12:16:35,163 [1] [INFO ] MasterManager, Version=1.0.7002.22094, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-04 12:16:35,421 [1] [INFO ] MasterManager, Version=1.0.7002.22094, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(48) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-04 12:16:35,687 [1] [DEBUG] MasterManager, Version=1.0.7002.22094, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(51) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-04 12:16:35,687 [1] [DEBUG] MasterManager, Version=1.0.7002.22094, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(65) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-04 12:16:36,109 [1] [INFO ] MasterManager, Version=1.0.7002.22094, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(100) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 12:16:36,796 [1] [INFO ] MasterManager, Version=1.0.7002.22094, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(100) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 12:16:36,812 [1] [INFO ] MasterManager, Version=1.0.7002.22094, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(89) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView - MainMDIForm 表示
2019-03-04 13:08:00,465 [1] [INFO ] MasterManager, Version=1.0.7002.23635, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-04 13:08:00,889 [1] [INFO ] MasterManager, Version=1.0.7002.23635, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(72) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-04 13:08:01,453 [1] [DEBUG] MasterManager, Version=1.0.7002.23635, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(75) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-04 13:08:01,456 [1] [DEBUG] MasterManager, Version=1.0.7002.23635, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(89) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-04 13:08:47,778 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-04 13:08:48,211 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(72) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-04 13:08:49,042 [1] [DEBUG] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(75) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-04 13:08:49,044 [1] [DEBUG] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(89) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-04 13:08:49,600 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(124) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 13:08:50,300 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(124) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 13:08:50,316 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(113) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView - MainMDIForm 表示
2019-03-04 13:09:00,119 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-03-04 13:09:10,140 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-04 13:09:10,307 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(72) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-04 13:09:10,776 [1] [DEBUG] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(75) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-04 13:09:10,779 [1] [DEBUG] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(89) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-04 13:09:11,402 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(124) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 13:09:12,138 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(124) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 13:09:12,158 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(113) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView - MainMDIForm 表示
2019-03-04 13:09:18,421 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-03-04 13:09:36,073 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-03-04 13:09:36,214 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(72) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-03-04 13:09:36,643 [1] [DEBUG] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(75) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-03-04 13:09:36,643 [1] [DEBUG] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(89) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-03-04 13:09:37,455 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(124) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 13:09:38,568 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(124) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-03-04 13:09:38,568 [1] [INFO ] MasterManager, Version=1.0.7002.23659, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(113) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView - MainMDIForm 表示
