2019-02-28 14:23:23,578 [1] [INFO ] MasterManager, Version=1.0.6998.25887, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(87) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-02-28 14:23:23,625 [1] [INFO ] MasterManager, Version=1.0.6998.25887, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(76) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView - MainMDIForm 表示
2019-02-28 14:52:16,139 [1] [INFO ] MasterManager, Version=1.0.6998.25887, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-02-28 14:54:16,844 [1] [INFO ] MasterManager, Version=1.0.6998.26826, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-02-28 14:54:16,934 [1] [INFO ] MasterManager, Version=1.0.6998.26826, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(39) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-02-28 14:54:17,267 [1] [DEBUG] MasterManager, Version=1.0.6998.26826, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(42) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MaterialSkin表示設定
2019-02-28 14:54:17,269 [1] [DEBUG] MasterManager, Version=1.0.6998.26826, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(56) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor - MDIコンテナ表示設定
2019-02-28 14:54:17,716 [1] [INFO ] MasterManager, Version=1.0.6998.26826, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(87) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-02-28 14:54:18,013 [1] [INFO ] MasterManager, Version=1.0.6998.26826, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(87) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowDockPanel - MDI子フォーム 表示
2019-02-28 14:54:18,029 [1] [INFO ] MasterManager, Version=1.0.6998.26826, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(76) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView - MainMDIForm 表示
2019-02-28 14:54:28,905 [1] [INFO ] MasterManager, Version=1.0.6998.26826, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
