2019-02-26 09:58:37,232 [1] [INFO ] MasterManager, Version=1.0.6996.17955, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-02-26 09:58:37,580 [1] [INFO ] MasterManager, Version=1.0.6996.17955, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(40) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-02-26 09:58:38,571 [1] [INFO ] MasterManager, Version=1.0.6996.17955, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(40) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-02-26 09:58:38,666 [1] [INFO ] MasterManager, Version=1.0.6996.17955, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(74) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView -  MainMDIForm 表示
2019-02-26 09:58:41,183 [1] [INFO ] MasterManager, Version=1.0.6996.17955, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-02-26 11:53:25,019 [1] [INFO ] MasterManager, Version=1.0.6996.21399, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-02-26 11:53:25,247 [1] [INFO ] MasterManager, Version=1.0.6996.21399, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(42) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
2019-02-26 11:53:26,768 [1] [INFO ] MasterManager, Version=1.0.6996.21399, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(76) INTEC.Med.MasterManager.VIEW.MainMDIForm ShowView -  MainMDIForm 表示
2019-02-26 11:53:30,338 [1] [INFO ] MasterManager, Version=1.0.6996.21399, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(28) INTEC.Med.MasterManager.Program Main - ===== Program End
2019-02-26 11:53:40,897 [1] [INFO ] MasterManager, Version=1.0.6996.21399, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\Program.cs(19) INTEC.Med.MasterManager.Program Main - ===== Program Start
2019-02-26 11:53:41,235 [1] [INFO ] MasterManager, Version=1.0.6996.21399, Culture=neutral, PublicKeyToken=null E:\05-SRC\10-dotNet\MasterManager\MasterManager\VIEW\Form\MainMDIForm.cs(42) INTEC.Med.MasterManager.VIEW.MainMDIForm .ctor -  MainMDIForm Initialize
